City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saldanha,ZA,2022-04-05 17:25:06,-33.0117,17.9442,62.65,78,8,5.95
68,Grand Gaube,MU,2022-04-05 17:25:06,-20.0064,57.6608,79.2,86,73,4.0
69,Mar Del Plata,AR,2022-04-05 17:15:55,-38.0023,-57.5575,75.22,40,0,21.85
70,Bhanvad,IN,2022-04-05 17:25:06,21.9264,69.7736,78.24,53,32,10.98
71,Yaring,TH,2022-04-05 17:25:07,6.8662,101.3689,80.29,86,99,5.46
72,Saskylakh,RU,2022-04-05 17:20:15,71.9167,114.0833,-24.65,100,82,1.54
73,Bodden Town,KY,2022-04-05 17:25:07,19.2833,-81.25,86.0,75,20,12.66
74,Arman,RU,2022-04-05 17:25:08,59.7,150.1667,9.64,86,99,10.85
75,Bossangoa,CF,2022-04-05 17:25:08,6.4926,17.4552,80.28,63,89,7.63
76,Billings,US,2022-04-05 17:25:08,45.7833,-108.5007,44.37,31,75,37.98
77,Ushuaia,AR,2022-04-05 17:17:57,-54.8,-68.3,38.86,81,75,23.02
78,Ahuimanu,US,2022-04-05 17:25:09,21.4447,-157.8378,74.35,80,75,10.36
79,Yellowknife,CA,2022-04-05 17:24:06,62.456,-114.3525,33.42,82,75,10.36
80,Christchurch,NZ,2022-04-05 17:25:09,-43.5333,172.6333,62.8,74,46,1.14
81,Clyde River,CA,2022-04-05 17:20:28,70.4692,-68.5914,12.43,73,20,4.61
82,Arraial Do Cabo,BR,2022-04-05 17:25:10,-22.9661,-42.0278,82.36,83,40,16.11
83,Cherskiy,RU,2022-04-05 17:25:10,68.75,161.3,-21.23,99,9,2.01
84,Iqaluit,CA,2022-04-05 17:20:23,63.7506,-68.5145,8.33,78,75,25.32
85,Tinskoy,RU,2022-04-05 17:25:10,56.1525,96.9161,34.77,96,100,3.89
86,Tarko-Sale,RU,2022-04-05 17:25:11,64.9225,77.785,34.29,100,100,22.03
87,Longyearbyen,SJ,2022-04-05 17:25:11,78.2186,15.6401,12.04,57,0,17.27
88,Khatanga,RU,2022-04-05 17:20:21,71.9667,102.5,-14.26,93,5,7.2
89,Zhigansk,RU,2022-04-05 17:25:11,66.7697,123.3711,-8.1,100,94,9.33
90,Zhuhai,CN,2022-04-05 17:25:12,22.2769,113.5678,71.85,83,0,1.14
91,Thinadhoo,MV,2022-04-05 17:21:18,0.5333,72.9333,83.34,71,11,3.56
92,Severo-Kurilsk,RU,2022-04-05 17:19:10,50.6789,156.125,31.64,63,2,4.65
93,Winnemucca,US,2022-04-05 17:25:13,40.973,-117.7357,44.65,31,0,11.5
94,Santa Catarina,BR,2022-04-05 17:26:14,-27.0,-50.0,78.87,54,65,3.98
95,Zurrieq,MT,2022-04-05 17:26:14,35.8311,14.4742,58.96,82,20,6.91
96,Pilar,BR,2022-04-05 17:26:14,-9.5972,-35.9567,85.93,66,98,9.08
97,New Norfolk,AU,2022-04-05 17:26:15,-42.7826,147.0587,53.1,67,88,1.63
98,Ixtapa,MX,2022-04-05 17:26:15,20.7,-105.2,78.03,53,0,2.3
99,Constitucion,CL,2022-04-05 17:26:16,-35.3333,-72.4167,66.76,53,1,8.95
100,Quelimane,MZ,2022-04-05 17:26:16,-17.8786,36.8883,82.35,83,20,10.36
101,Angren,UZ,2022-04-05 17:26:16,41.0167,70.1436,63.12,38,2,7.7
102,Mansa,IN,2022-04-05 17:26:17,29.9833,75.3833,80.08,8,1,3.74
103,Talnakh,RU,2022-04-05 17:26:17,69.4865,88.3972,8.64,76,73,8.05
104,Hluti,SZ,2022-04-05 17:26:17,-27.2167,31.6167,69.75,81,0,8.72
105,Vilhena,BR,2022-04-05 17:26:18,-12.7406,-60.1458,88.02,58,40,3.44
106,Qaanaaq,GL,2022-04-05 17:26:18,77.484,-69.3632,14.79,88,69,1.79
107,Veinticinco De Mayo,AR,2022-04-05 17:26:18,-35.4323,-60.1727,77.99,33,0,1.01
108,Portland,US,2022-04-05 17:26:12,45.5234,-122.6762,50.38,72,40,16.11
109,Vaini,TO,2022-04-05 17:18:59,-21.2,-175.2,71.76,94,20,1.14
110,Belmonte,BR,2022-04-05 17:26:19,-15.8631,-38.8828,84.16,64,20,7.25
111,Si Chiang Mai,TH,2022-04-05 17:26:19,17.9564,102.5867,80.94,99,12,7.27
112,Ponta Do Sol,PT,2022-04-05 17:26:20,32.6667,-17.1,62.71,60,56,6.42
113,Cidreira,BR,2022-04-05 17:26:20,-30.1811,-50.2056,71.62,69,95,9.48
114,Jamestown,US,2022-04-05 17:17:45,42.097,-79.2353,61.05,37,0,9.22
115,Hobyo,SO,2022-04-05 17:26:21,5.3505,48.5268,82.06,71,24,12.88
116,Bembereke,BJ,2022-04-05 17:26:22,10.2283,2.6634,97.97,23,66,8.79
117,Cabo San Lucas,MX,2022-04-05 17:22:18,22.8909,-109.9124,77.61,64,0,9.22
118,Cayenne,GF,2022-04-05 17:26:22,4.9333,-52.3333,76.08,1,75,9.22
119,Rawson,AR,2022-04-05 17:26:23,-43.3002,-65.1023,74.91,35,28,24.45
120,Sorong,ID,2022-04-05 17:26:23,-0.8833,131.25,79.75,82,100,10.69
121,Tuktoyaktuk,CA,2022-04-05 17:20:29,69.4541,-133.0374,-16.6,69,40,6.91
122,Krasnaya Polyana,RU,2022-04-05 17:26:24,56.242,51.1442,25.12,96,77,7.2
123,Thompson,CA,2022-04-05 17:19:09,55.7435,-97.8558,35.76,75,100,11.5
124,Marietta,US,2022-04-05 17:26:22,33.9526,-84.5499,56.3,96,100,13.8
125,Port Alfred,ZA,2022-04-05 17:19:09,-33.5906,26.891,65.52,74,8,8.05
126,Davidson,US,2022-04-05 17:26:24,36.1501,-86.7833,58.05,84,75,11.5
127,Port Hardy,CA,2022-04-05 17:22:04,50.6996,-127.4199,44.78,76,40,11.5
128,Mahebourg,MU,2022-04-05 17:26:25,-20.4081,57.7,79.09,89,75,6.91
129,Zaliztsi,UA,2022-04-05 17:26:25,49.7919,25.373,39.43,91,100,14.56
130,Yakeshi,CN,2022-04-05 17:26:26,49.2833,120.7333,8.91,69,25,6.13
131,Zanjan,IR,2022-04-05 17:26:26,36.6736,48.4787,60.3,27,17,5.84
132,Itumbiara,BR,2022-04-05 17:26:26,-18.4192,-49.2153,89.62,39,3,5.21
133,Haines Junction,CA,2022-04-05 17:26:27,60.7522,-137.5108,33.75,51,90,6.91
134,Emerald,AU,2022-04-05 17:23:57,-23.5333,148.1667,70.34,57,29,12.01
135,Scarborough,GB,2022-04-05 17:26:27,54.2797,-0.4044,51.91,77,100,8.01
136,Castro,BR,2022-04-05 17:20:22,-24.7911,-50.0119,78.15,61,28,6.64
137,Touros,BR,2022-04-05 17:19:12,-5.1989,-35.4608,84.7,66,99,13.91
138,Nishihara,JP,2022-04-05 17:27:28,26.1842,127.7558,65.48,70,100,10.36
139,Kavieng,PG,2022-04-05 17:27:28,-2.5744,150.7967,79.02,88,100,15.97
140,Vostok,RU,2022-04-05 17:27:28,46.4856,135.8833,20.37,79,72,8.88
141,Skjervoy,NO,2022-04-05 17:27:29,70.0311,20.9714,28.4,66,100,22.95
142,Saint George,US,2022-04-05 17:19:37,37.1041,-113.5841,77.63,20,0,10.0
143,Tasiilaq,GL,2022-04-05 17:19:10,65.6145,-37.6368,28.56,86,55,5.21
144,Petauke,ZM,2022-04-05 17:27:29,-14.2426,31.3253,68.23,95,98,3.56
145,Kruisfontein,ZA,2022-04-05 17:27:30,-34.0033,24.7314,63.88,77,29,7.29
146,Pontianak,ID,2022-04-05 17:27:30,-0.0333,109.3333,75.18,94,75,3.44
147,Nikolskoye,RU,2022-04-05 17:18:59,59.7035,30.7861,36.88,78,99,12.19
148,Garh Maharaja,PK,2022-04-05 17:27:31,30.8339,71.9053,83.79,7,36,4.38
149,Manjacaze,MZ,2022-04-05 17:27:31,-24.7117,33.8828,80.19,60,94,9.31
150,Alofi,NU,2022-04-05 17:27:31,-19.0595,-169.9187,71.49,100,100,3.44
151,Kaeo,NZ,2022-04-05 17:27:32,-35.1,173.7833,67.32,96,100,5.59
152,Grindavik,IS,2022-04-05 17:27:33,63.8424,-22.4338,30.15,69,75,26.46
153,Torbay,CA,2022-04-05 17:27:33,47.6666,-52.7314,40.26,95,100,14.97
154,Muravlenko,RU,2022-04-05 17:27:34,63.7898,74.523,34.65,100,100,19.71
155,Atuona,PF,2022-04-05 17:20:30,-9.8,-139.0333,78.42,78,56,22.5
156,Birao,CF,2022-04-05 17:27:35,10.2849,22.7882,95.97,17,20,2.68
157,Port Hedland,AU,2022-04-05 17:27:35,-20.3167,118.5667,82.45,74,6,5.75
158,Podgorenskiy,RU,2022-04-05 17:27:35,50.405,39.6429,42.06,56,100,10.09
159,Klaksvik,FO,2022-04-05 17:27:36,62.2266,-6.589,36.52,54,96,16.53
160,Vung Tau,VN,2022-04-05 17:27:36,10.346,107.0843,79.92,83,69,14.05
161,Katobu,ID,2022-04-05 17:27:37,-4.9408,122.5276,73.89,90,50,2.68
162,Alice Springs,AU,2022-04-05 17:27:37,-23.7,133.8833,69.22,32,2,8.05
163,Olafsvik,IS,2022-04-05 17:27:38,64.8945,-23.7142,28.63,62,100,32.97
