City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
190,Aguimes,ES,65.86,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
198,Kaitangata,NZ,51.46,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
199,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
202,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
203,Chuy,UY,74.28,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
205,Marawi,PH,66.74,overcast clouds,7.9986,124.2928,Derogongan Residence
207,Bayan,CN,52.14,overcast clouds,46.0833,127.4,Wanhao Inn
215,Mareeba,AU,72.45,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
218,San Quintin,MX,64.22,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
219,Hasaki,JP,54.0,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
220,Camana,PE,71.69,scattered clouds,-16.6228,-72.7111,Hostal Morales
222,Katsuura,JP,62.78,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
224,Atambua,ID,72.73,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
225,Omboue,GA,72.27,moderate rain,-1.5746,9.2618,Hotel Olako
234,Cape Canaveral,US,65.07,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
235,Capinota,BO,71.01,overcast clouds,-17.7167,-66.2333,Urbanización Villa Real
240,Imbituba,BR,75.45,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
241,Westport,US,55.44,overcast clouds,41.1415,-73.3579,The Inn at Longshore
243,Coahuayana,MX,77.74,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
244,Vila Franca Do Campo,PT,61.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
245,Santo Antonio Do Sudoeste,BR,77.56,clear sky,-26.0736,-53.7253,Hotel Frontera
247,Mwense,ZM,74.7,light rain,-10.3845,28.698,Mwense Council Guest House
248,Progreso,MX,75.31,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
255,Saint George,US,52.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
256,Ascension,US,59.05,clear sky,30.2169,-90.9001,Highland Inn
258,Rawson,AR,62.65,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
265,Ulladulla,AU,63.77,broken clouds,-35.35,150.4667,Sandpiper Motel
270,Bogo,PH,74.93,light rain,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
272,Katobu,ID,75.56,overcast clouds,-4.9408,122.5276,La Ode Husein
274,San Patricio,US,71.47,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
277,Carbonia,IT,68.02,few clouds,39.1672,8.5222,Lu 'Hotel
283,Baruun-Urt,MN,56.98,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
290,Vao,NC,77.45,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
291,Naze,JP,63.37,clear sky,28.3667,129.4833,Shishime Hotel
