City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Raudeberg,NO,61.9875,5.1352,37.87,85,100,29.77,overcast clouds
80,Teya,RU,60.3778,92.6267,28.42,91,100,3.02,overcast clouds
81,Port Alfred,ZA,-33.5906,26.891,67.17,80,99,5.99,overcast clouds
82,Carutapera,BR,-1.195,-46.02,77.65,93,98,3.15,overcast clouds
83,Mount Isa,AU,-20.7333,139.5,71.37,35,7,0.0,clear sky
84,Narsaq,GL,60.9167,-46.05,35.82,45,2,1.19,clear sky
85,Vardo,NO,70.3705,31.1107,35.69,97,100,27.42,overcast clouds
86,Gobabis,NA,-22.45,18.9667,84.67,21,89,17.38,overcast clouds
87,Bredasdorp,ZA,-34.5322,20.0403,66.0,63,32,24.79,scattered clouds
88,Camacha,PT,33.0833,-16.3333,62.02,59,75,10.36,broken clouds
89,Fort Nelson,CA,58.8053,-122.7002,25.3,94,64,6.31,broken clouds
90,Makokou,GA,0.5738,12.8642,80.02,82,90,4.83,moderate rain
91,Vangaindrano,MG,-23.35,47.6,77.38,80,22,7.09,few clouds
92,Ayagoz,KZ,47.9714,80.4392,43.59,47,100,15.7,overcast clouds
93,Moose Factory,CA,51.2585,-80.6094,24.78,80,100,12.66,overcast clouds
94,Kargil,IN,34.5667,76.1,35.42,75,96,4.83,overcast clouds
95,Leningradskiy,RU,69.3833,178.4167,-23.12,98,62,4.54,broken clouds
96,Parkes,AU,-33.1333,148.1833,63.36,88,100,1.99,overcast clouds
97,Saint-Francois,FR,46.4154,3.9054,51.67,71,75,16.11,broken clouds
98,Necochea,AR,-38.5473,-58.7368,68.4,69,14,8.9,few clouds
99,Port Hardy,CA,50.6996,-127.4199,36.57,80,100,7.61,light rain
100,Sulgen,CH,47.5377,9.185,48.54,50,56,5.1,broken clouds
101,Vaini,TO,-21.2,-175.2,75.36,100,40,0.0,scattered clouds
102,Sept-Iles,CA,50.2001,-66.3821,33.06,97,100,10.36,mist
103,Sur,OM,22.5667,59.5289,92.53,29,100,5.44,overcast clouds
104,Hvide Sande,DK,56.0045,8.1294,42.85,70,20,21.85,few clouds
105,Lompoc,US,34.6391,-120.4579,50.41,82,100,28.01,mist
106,Kushmurun,KZ,52.4503,64.6311,47.37,72,100,9.42,overcast clouds
107,Namibe,AO,-15.1961,12.1522,76.66,68,5,9.08,clear sky
108,Lata,PT,40.1629,-8.3327,58.82,75,100,4.29,overcast clouds
109,Kalabo,ZM,-14.97,22.6814,77.77,61,92,9.04,light rain
110,Lasa,IT,46.6166,10.7002,47.7,64,100,10.67,overcast clouds
111,Kardzhin,RU,43.2737,44.2907,65.7,50,64,5.28,broken clouds
112,Faanui,PF,-16.4833,-151.75,82.06,74,87,16.78,overcast clouds
113,Luyang,CN,27.6239,110.0989,66.83,79,100,3.22,overcast clouds
114,Sinnamary,GF,5.3833,-52.95,80.1,84,96,12.26,overcast clouds
115,Sosnogorsk,RU,63.6023,53.8817,35.98,98,100,10.33,overcast clouds
116,Tiksi,RU,71.6872,128.8694,-10.46,100,100,3.27,overcast clouds
117,Ouango,CF,4.3133,22.5552,99.34,25,77,4.41,broken clouds
118,Khatanga,RU,71.9667,102.5,3.15,99,66,5.84,broken clouds
119,Rocha,UY,-34.4833,-54.3333,76.87,55,0,3.42,clear sky
120,Bengkulu,ID,-3.8004,102.2655,79.52,78,100,2.17,overcast clouds
121,Norman Wells,CA,65.282,-126.8329,22.26,92,100,13.0,overcast clouds
122,Ponta Do Sol,PT,32.6667,-17.1,68.72,65,24,5.41,few clouds
123,Saldanha,ZA,-33.0117,17.9442,71.26,42,0,13.71,clear sky
124,Homer,US,59.6425,-151.5483,31.89,68,100,3.44,overcast clouds
125,Skibbereen,IE,51.55,-9.2667,48.11,51,97,10.22,overcast clouds
126,Tazovskiy,RU,67.4667,78.7,-4.4,100,39,8.1,scattered clouds
127,Quatre Cocos,MU,-20.2078,57.7625,80.1,78,13,12.1,few clouds
128,Sovetskiy,RU,61.3614,63.5842,31.73,90,95,7.11,overcast clouds
129,Sola,VU,-13.8833,167.55,82.72,71,29,14.72,scattered clouds
130,Pisco,PE,-13.7,-76.2167,68.05,83,94,4.61,mist
131,Auki,SB,-8.7676,160.7034,77.67,84,57,3.76,broken clouds
132,Charlottetown,CA,46.2352,-63.1267,46.78,90,100,8.01,overcast clouds
133,Pano Aqil,PK,27.8569,69.1116,96.69,7,7,8.68,clear sky
134,Churapcha,RU,62.0025,132.4325,14.92,95,100,5.08,overcast clouds
135,Saurimo,AO,-9.6608,20.3916,71.1,78,100,4.76,overcast clouds
